,Baseline Models,,,,,,,,,,,,,,,,,,PCA,,,,,,,,,,,,,,,,,,PCA + Smote,,,,,,,,,,,,,,,,
,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,,,,,,,,,,,,,,,,,,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,,,,,,,,,,,,,,,,,,,KNN ,0.37,0.69,0.48,0.33,0.13,0.19,0.69,0.69,0.69,0.55,0.46,0.5,0.45,0.55,0.55,0.53,,KNN ,0.37,0.69,0.48,0.33,0.26,0.29,0.7,0.58,0.63,0.52,0.47,0.51,0.47,0.55,0.52,0.52
,,,,,,,,,,,,,,,,,,,Naive Bayes,0.35,0.7,0.47,0.33,0.04,0.08,0.67,0.73,0.70,0.55,0.45,0.49,0.41,0.53,0.55,0.51,,Naive Bayes,0.23,1,0.37,0,0,0,0.83,0.35,0.49,0.37,0.35,0.45,0.28,0.52,0.37,0.35
,,,,,,,,,,,,,,,,,,,Logistic Regression,0.5,0.5,0.5,0.25,0.04,0.07,0.64,0.85,0.73,0.6,0.46,0.47,0.43,0.52,0.6,0.53,,Logistic Regression,0.39,0.75,0.51,0.40,0.09,0.14,0.69,0.73,0.71,0.57,0.49,0.52,0.45,0.57,0.57,0.54
,,,,,,,,,,,,,,,,,,,Decision Tree,0.47,0.5,0.48,0.33,0.13,0.19,0.65,0.8,0.72,0.59,0.48,0.48,0.46,0.54,0.59,0.55,,Decision Tree,0.38,0.69,0.49,0.30,0.13,0.18,0.69,0.69,0.69,0.55,0.46,0.5,0.45,0.54,0.55,0.53
,,,,,,,,,,,,,,,,,,,RandomForest,0.5,0.5,0.5,0.33,0.09,0.12,0.64,0.84,0.72,0.6,0.49,0.47,0.45,0.54,0.6,0.54,,RandomForest,0.38,0.69,0.49,0.30,0.13,0.18,0.69,0.69,0.69,0.55,0.46,0.5,0.45,0.54,0.55,0.53
,,,,,,,,,,,,,,,,,,,Gradient Boosting,0.5,0.5,0.5,0.40,0.17,0.24,0.65,0.80,0.72,0.6,0.52,0.49,0.49,0.56,0.6,0.56,,Gradient Boosting,0.38,0.69,0.49,0.22,0.09,0.12,0.68,0.69,0.68,0.54,0.43,0.49,0.43,0.52,0.54,0.51
,,,,,,,,,,,,,,,,,,,XGBoost,0.5,0.5,0.5,0.33,0.09,0.14,0.64,0.84,0.72,0.6,0.49,0.47,0.45,0.54,0.6,0.54,,XGBoost,0.38,0.69,0.49,0.22,0.09,0.12,0.68,0.69,0.68,0.54,0.43,0.49,0.43,0.52,0.54,0.51
,,,,,,,,,,,,,,,,,,,AdaBoost,0.5,0.5,0.5,0.25,0.04,0.07,0.64,0.85,0.73,0.6,0.46,0.47,0.43,0.52,0.6,0.53,,AdaBoost,0.38,0.75,0.5,0.4,0.09,0.14,0.68,0.71,0.7,0.56,0.49,0.52,0.45,0.56,0.56,0.53
,,,,,,,,,,,,,,,,,,,Extra Trees,0.47,0.5,0.48,0.38,0.13,0.19,0.65,0.82,0.73,0.6,0.5,0.48,0.47,0.55,0.59,0.55,,Extra Trees,0.38,0.69,0.49,0.3,0.13,0.18,0.69,0.69,0.69,0.55,0.46,0.5,0.45,0.54,0.55,0.53
,,,,,,,,,,,,,,,,,,,Lightgbm,0.5,0.5,0.5,0.38,0.13,0.19,0.64,0.82,0.72,0.60,0.51,0.48,0.47,0.55,0.6,0.55,,Lightgbm,0.38,0.69,0.49,0.25,0.09,0.13,0.68,0.71,0.7,0.55,0.44,0.49,0.44,0.53,0.55,0.52
,,,,,,,,,,,,,,,,,,,SVM,0.5,0.5,0.5,0.25,0.04,0.07,0.64,0.85,0.73,0.6,0.46,0.47,0.43,0.52,0.6,0.53,,SVM,0.38,0.69,0.49,0.25,0.09,0.13,0.68,0.71,0.7,0.55,0.44,0.49,0.44,0.53,0.55,0.52
,,,,,,,,,,,,,,,,,,,MLP,0.5,0.5,0.5,0.29,0.09,0.13,0.63,0.82,0.71,0.59,0.47,0.47,0.45,0.53,0.59,0.54,,MLP,0.38,0.69,0.49,0.22,0.09,0.12,0.68,0.69,0.68,0.54,0.43,0.49,0.43,0.52,0.54,0.51
,,,,,,,,,,,,,,,,,,,CatBoost,0.5,0.5,0.5,0.25,0.04,0.07,0.64,0.85,0.73,0.6,0.46,0.47,0.43,0.52,0.6,0.53,,CatBoost,0.38,0.69,0.49,0.25,0.09,0.13,0.68,0.71,0.7,0.55,0.44,0.49,0.44,0.53,0.55,0.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Backward Selection,,,,,,,,,,,,,,,,,,Backward Selection+smote,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,,,,,,,,,,,,,,,,,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,,,,,,,,,,,,,,,,,,,KNN ,0.43,0.56,0.49,0.21,0.13,0.16,0.75,0.8,0.77,0.60,0.46,0.5,0.47,0.56,0.6,0.57,,KNN ,0.53,0.56,0.55,0.33,0.26,0.29,0.71,0.76,0.74,0.61,0.52,0.53,0.52,0.59,0.61,0.6
,,,,,,,,,,,,,,,,,,,Naive Bayes,0.35,1.0,0.52,0.5,0.13,0.21,0.76,0.58,0.66,0.54,0.54,0.57,0.46,0.63,0.54,0.52,,Naive Bayes,0.39,0.94,0.56,0.33,0.09,0.14,0.76,0.69,0.72,0.59,0.5,0.57,0.47,0.59,0.59,0.55
,,,,,,,,,,,,,,,,,,,Logistic Regression,0.63,0.75,0.69,0.75,0.39,0.51,0.78,0.89,0.83,0.74,0.72,0.68,0.68,0.75,0.74,0.73,,Logistic Regression,0.52,0.69,0.59,0.69,0.39,0.5,0.75,0.82,0.78,0.69,0.66,0.63,0.63,0.7,0.69,0.68
,,,,,,,,,,,,,,,,,,,Decision Tree,0.48,0.81,0.6,0.57,0.35,0.43,0.77,0.75,0.76,0.66,0.61,0.64,0.6,0.67,0.66,0.65,,Decision Tree,0.45,0.88,0.6,0.50,0.3,0.38,0.78,0.69,0.73,0.63,0.58,0.62,0.57,0.65,0.63,0.62
,,,,,,,,,,,,,,,,,,,RandomForest,0.59,0.81,0.68,0.62,0.22,0.32,0.73,0.85,0.79,0.69,0.65,0.63,0.60,0.68,0.69,0.66,,RandomForest,0.48,0.81,0.6,0.44,0.17,0.25,0.72,0.76,0.74,0.63,0.55,0.58,0.53,0.61,0.63,0.6
,,,,,,,,,,,,,,,,,,,Gradient Boosting,0.6,0.75,0.67,0.46,0.26,0.33,0.72,0.8,0.76,0.66,0.59,0.6,0.59,0.64,0.66,0.64,,Gradient Boosting,0.48,0.75,0.59,0.44,0.35,0.39,0.75,0.69,0.72,0.62,0.56,0.6,0.56,0.63,0.62,0.61
,,,,,,,,,,,,,,,,,,,XGBoost,0.6,0.75,0.67,0.67,0.35,0.46,0.76,0.85,0.8,0.71,0.67,0.65,0.64,0.71,0.71,0.70,,XGBoost,0.48,0.81,0.6,0.62,0.43,0.51,0.78,0.73,0.75,0.67,0.63,0.66,0.62,0.69,0.67,0.67
,,,,,,,,,,,,,,,,,,,AdaBoost,0.5,0.69,0.58,0.75,0.39,0.51,0.75,0.82,0.78,0.69,0.67,0.63,0.63,0.71,0.69,0.68,,AdaBoost,0.4,0.75,0.52,0.64,0.3,0.41,0.77,0.75,0.76,0.64,0.6,0.6,0.56,0.68,0.64,0.63
,,,,,,,,,,,,,,,,,,,Extra Trees,0.57,0.81,0.67,0.67,0.26,0.38,0.76,0.85,0.8,0.7,0.66,0.64,0.62,0.7,0.7,0.68,,Extra Trees,0.46,0.81,0.59,0.44,0.17,0.25,0.72,0.75,0.73,0.62,0.54,0.58,0.52,0.61,0.62,0.59
,,,,,,,,,,,,,,,,,,,Lightgbm,0.58,0.69,0.63,0.60,0.39,0.47,0.77,0.84,0.8,0.7,0.65,0.64,0.63,0.69,0.7,0.69,,Lightgbm,0.46,0.75,0.57,0.59,0.43,0.5,0.78,0.73,0.75,0.66,0.61,0.64,0.61,0.68,0.66,0.66
,,,,,,,,,,,,,,,,,,,SVM,0.56,0.62,0.59,0.43,0.13,0.2,0.7,0.87,0.77,0.65,0.56,0.54,0.52,0.61,0.65,0.60,,SVM,0.52,0.69,0.59,0.5,0.17,0.26,0.71,0.84,0.77,0.65,0.58,0.57,0.54,0.63,0.65,0.61
,,,,,,,,,,,,,,,,,,,MLP,0.59,0.81,0.68,0.50,0.3,0.38,0.74,0.78,0.76,0.67,0.61,0.63,0.61,0.66,0.67,0.65,,MLP,0.5,0.81,0.62,0.41,0.3,0.35,0.75,0.69,0.72,0.62,0.55,0.6,0.56,0.62,0.62,0.61
,,,,,,,,,,,,,,,,,,,CatBoost,0.58,0.69,0.63,0.73,0.35,0.47,0.75,0.87,0.81,0.71,0.69,0.64,0.64,0.72,0.71,0.69,,CatBoost,0.48,0.75,0.59,0.70,0.3,0.42,0.75,0.8,0.77,0.67,0.64,0.62,0.59,0.69,0.67,0.66
