,Baseline Models,,,,,,,,,,,,,,,,,,PCA,,,,,,,,,,,,,,,,,,PCA + Smote,,,,,,,,,,,,,,,,
,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SMOTE,,,,,,,,,,,,,,,,,,ICA,,,,,,,,,,,,,,,,,,ICA+smote,,,,,,,,,,,,,,,,
,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,KNN ,0.41,0.69,0.51,0.15,0.09,0.11,0.65,0.64,0.64,0.51,0.4,0.47,0.42,0.49,0.51,0.49,,KNN ,0.38,0.62,0.48,0.25,0.13,0.17,0.7,0.71,0.7,0.55,0.44,0.49,0.45,0.53,0.55,0.53,,KNN ,0.46,0.81,0.59,0.11,0.04,0.06,0.72,0.75,0.73,0.59,0.43,0.53,0.46,0.53,0.59,0.54
,Naive Bayes,0.37,0.9,0.53,0.38,0.13,0.19,0.76,0.62,0.68,0.55,0.5,0.56,0.47,0.6,0.55,0.53,,Naive Bayes,0.41,0.8,0.54,0.4,0.09,0.14,0.7,0.73,0.71,0.59,0.5,0.54,0.47,0.58,0.59,0.55,,Naive Bayes,0.39,0.8,0.53,0.25,0.09,0.13,0.72,0.69,0.7,0.56,0.45,0.53,0.45,0.55,0.56,0.53
,Logistic Regression,0.55,0.75,0.63,0.53,0.35,0.42,0.75,0.78,0.77,0.67,0.61,0.63,0.61,0.66,0.67,0.66,,Logistic Regression,0.52,0.69,0.59,0.50,0.04,0.08,0.69,0.89,0.78,0.65,0.57,0.54,0.48,0.62,0.65,0.58,,Logistic Regression,0.52,0.81,0.63,0.33,0.09,0.14,0.71,0.82,0.76,0.64,0.52,0.57,0.51,0.59,0.64,0.59
,Decision Tree,0.41,0.69,0.51,0.33,0.35,0.34,0.77,0.6,0.67,0.55,0.5,0.55,0.51,0.6,0.55,0.56,,Decision Tree,0.45,0.56,0.5,0.21,0.13,0.16,0.62,0.67,0.64,0.52,0.43,0.46,0.44,0.56,0.57,0.56,,Decision Tree,0.47,0.88,0.61,0.33,0.13,0.19,0.73,0.73,0.73,0.61,0.51,0.58,0.51,0.59,0.61,0.58
,RandomForest,0.5,0.75,0.60,0.43,0.13,0.2,0.73,0.84,0.78,0.65,0.55,0.57,0.53,0.62,0.65,0.61,,RandomForest,0.44,0.5,0.47,0.33,0.09,0.14,0.64,0.82,0.72,0.59,0.47,0.47,0.44,0.53,0.59,0.54,,RandomForest,0.42,0.69,0.52,0.17,0.04,0.07,0.71,0.8,0.75,0.6,0.43,0.51,0.45,0.53,0.6,0.55
